Customer_Number,Offer_Accepted,Income_Level,Bank_Accounts_Open,Overdraft_Protection,Credit_Rating,Credit_Cards_Held,Homes_Owned,Household_Size,Own_Your_Home,Average_Balance
101,0,3,1,0,1,2,1,3,1,1210.75
102,1,1,1,1,3,1,1,9,0,161.50
103,0,3,1,1,1,1,1,2,1,1033.75
104,0,1,2,0,3,2,1,5,1,963.00
105,0,2,1,0,1,2,3,5,1,1025.75
106,0,3,1,0,1,1,1,5,1,1071.75
107,0,3,1,0,3,2,2,3,1,1039.50
108,0,2,1,0,3,3,1,3,1,979.25
109,0,1,1,0,1,2,1,1,1,905.50
110,0,1,1,1,2,2,1,5,1,924.00
111,0,3,1,0,3,1,1,2,1,1061.75
112,0,2,1,1,2,3,2,1,0,816.50
113,1,1,1,1,1,2,1,5,1,1082.50
114,0,2,2,0,3,1,1,4,1,928.25
115,0,1,1,0,2,2,1,3,1,1397.25
116,0,3,2,0,3,1,2,5,0,1034.50
117,0,2,1,0,3,2,1,5,1,738.50
118,0,1,1,0,1,2,1,4,1,1251.50
119,0,3,1,0,1,1,1,5,1,1153.75
120,0,1,1,0,2,2,1,4,1,864.00
121,0,2,1,0,1,3,1,2,0,1155.50
122,0,1,1,0,1,1,2,5,0,1090.50
123,0,3,1,0,2,2,1,4,0,1090.50
124,0,3,1,0,3,2,1,3,1,773.75
125,0,2,1,0,2,2,1,3,1,1052.00
126,0,2,1,0,2,2,1,4,1,944.25
127,0,2,1,0,1,1,2,4,0,1147.25
128,0,1,1,0,1,2,1,3,1,1159.50
129,0,1,1,0,1,1,1,3,0,836.50
130,0,2,2,0,2,2,1,3,1,1057.75
131,0,2,1,0,2,3,1,5,0,714.75
132,1,1,2,0,2,2,2,3,1,811.50
133,0,2,1,0,1,2,1,3,0,865.75
134,0,2,1,0,3,1,1,3,1,887.25
135,0,1,1,0,2,2,1,5,0,1791.75
136,0,1,1,0,1,2,1,3,1,1083.00
137,0,2,2,0,3,1,1,2,1,212.50
138,0,2,1,0,3,2,1,2,0,877.75
139,0,2,1,0,1,2,1,3,0,691.50
140,0,3,2,0,2,2,2,4,1,814.50
141,0,2,1,0,2,2,1,4,1,955.50
142,0,1,1,0,1,2,1,4,1,1281.50
143,0,1,1,1,3,2,1,3,1,937.50
144,0,2,3,1,2,2,1,3,1,919.75
145,0,2,3,1,1,1,1,3,1,879.75
146,0,2,1,1,3,4,1,4,0,1181.00
147,0,3,1,0,2,1,2,3,0,1153.50
148,0,1,1,0,1,2,1,4,1,794.25
149,0,2,1,1,3,3,1,4,1,927.25
150,0,2,1,0,2,3,1,2,0,1809.00
151,0,3,1,0,2,1,1,5,0,1156.25
152,0,1,1,1,3,2,1,4,0,1121.50
153,0,1,1,0,2,2,1,4,1,1203.00
154,0,1,2,0,3,1,1,1,0,246.25
155,0,3,2,0,3,1,1,4,1,1454.75
156,0,1,1,0,3,2,1,2,0,687.00
157,0,1,2,1,3,1,1,3,1,928.00
158,0,1,1,0,3,2,1,2,0,933.00
159,1,2,3,0,3,1,1,5,0,1133.25
160,0,2,1,0,3,3,2,5,1,1301.50
161,0,1,2,0,2,1,1,2,1,1199.00
162,0,2,2,0,3,1,1,3,1,1084.25
163,0,3,1,0,1,2,1,2,0,1094.50
164,0,1,1,1,1,1,1,3,1,1104.00
165,0,1,1,0,3,1,1,4,1,1042.50
166,0,2,1,0,1,1,1,5,1,1089.75
167,0,2,1,0,2,2,1,3,1,974.25
168,0,2,2,0,1,2,1,3,1,991.50
169,0,3,1,1,2,2,1,3,1,1204.25
170,0,2,1,0,3,2,1,5,0,865.00
171,0,2,1,0,1,2,1,2,1,1144.00
172,0,2,1,0,2,3,2,4,1,958.50
173,0,2,1,0,3,2,2,3,1,1056.25
174,0,2,1,0,2,3,1,3,1,695.00
175,0,3,1,0,1,4,1,2,1,1237.50
176,0,3,1,0,1,2,1,5,1,1034.00
177,0,1,1,0,1,1,1,4,1,1246.50
178,0,2,1,0,3,2,1,2,0,998.75
179,0,1,1,0,2,2,1,3,1,1028.00
180,0,2,2,0,1,2,1,2,0,320.00
181,0,3,2,0,1,1,2,3,1,91.25
182,0,1,2,1,2,1,1,3,1,166.25
183,0,2,2,1,3,3,1,2,0,240.00
184,0,2,1,0,2,2,1,5,0,124.75
185,0,1,1,0,3,1,1,3,0,1145.75
186,0,2,3,0,3,2,1,6,0,1292.50
187,0,2,1,1,1,2,2,3,1,1186.00
188,0,2,2,0,1,1,1,5,1,1135.25
189,0,3,1,0,3,3,1,4,1,1279.25
190,0,1,1,0,3,2,2,3,1,1162.00
191,0,2,1,0,3,2,1,3,0,954.50
192,0,2,1,0,2,2,1,3,1,1073.25
193,0,2,1,0,2,1,1,4,1,889.00
194,0,2,1,0,3,1,1,3,0,294.25
195,0,3,2,0,3,3,1,3,1,1047.50
196,0,3,2,0,3,1,1,3,1,661.25
197,0,2,2,0,2,3,1,2,1,158.75
198,0,1,1,0,2,2,2,3,1,1059.00
199,0,3,1,0,2,1,1,2,1,1741.75
200,0,1,1,0,3,1,1,4,1,1419.50
201,0,2,1,0,3,2,1,3,1,232.50
202,0,2,1,0,1,2,1,3,0,1122.50
203,0,2,2,0,3,1,1,4,0,1250.75
204,0,2,1,0,1,3,2,2,1,1057.00
205,0,1,1,0,3,1,2,4,0,1195.00
206,0,2,2,1,1,1,1,3,1,936.25
207,0,1,1,0,3,1,1,5,1,791.50
208,0,2,2,0,1,1,1,4,1,1426.00
209,0,3,2,0,1,2,1,4,1,764.75
210,0,2,1,0,1,2,1,3,1,830.00
211,0,3,1,0,1,2,1,3,0,1162.25
212,0,2,2,0,1,2,2,3,1,1065.50
213,0,2,1,1,3,1,1,3,1,1022.25
214,0,2,1,0,3,4,1,5,1,1181.00
215,0,3,1,0,2,3,1,4,1,1764.00
216,0,3,2,0,3,2,2,2,0,1043.25
217,0,2,1,0,1,2,1,3,0,1702.00
218,0,1,1,0,2,2,1,4,0,856.00
219,0,2,1,0,2,2,1,5,0,390.75
220,0,3,1,0,3,3,2,4,0,1101.50
221,0,3,1,0,2,2,1,4,0,1016.50
222,0,2,2,0,1,3,1,5,1,287.75
223,0,3,1,0,3,3,1,6,0,841.25
224,0,2,1,0,3,3,2,6,1,911.75
225,1,3,1,0,3,1,1,3,0,1141.50
226,0,2,1,0,1,1,1,4,1,946.25
227,0,3,1,0,1,3,1,5,1,1190.25
228,0,2,1,0,1,3,1,4,1,924.00
229,0,3,1,0,3,2,1,4,0,823.75
230,0,2,1,0,1,3,1,4,0,1006.00
231,0,3,1,0,3,1,1,4,1,1008.75
232,0,3,1,0,2,2,1,3,0,1128.00
233,0,1,2,0,3,2,1,1,1,1340.50
234,0,3,1,1,3,3,1,3,0,1371.00
235,0,2,1,0,3,1,2,3,0,1331.25
236,0,3,1,1,1,2,1,3,1,704.50
237,0,2,1,0,1,1,2,3,1,1509.00
238,0,1,2,0,3,3,1,3,0,203.25
239,0,1,1,0,2,1,1,2,1,1034.00
240,0,2,1,0,3,3,1,5,0,1007.25
241,0,2,1,0,1,3,1,4,1,874.00
242,0,2,2,0,1,1,2,4,1,1148.00
243,0,1,1,0,3,3,1,3,1,229.25
244,0,2,1,0,1,2,1,3,0,962.75
245,0,2,1,0,3,4,1,5,0,1437.75
246,0,3,1,0,1,1,1,4,1,1281.50
247,0,2,1,0,1,2,1,3,1,1029.50
248,0,3,1,0,1,2,1,2,0,883.75
249,0,2,1,0,3,4,2,4,0,1144.50
250,0,2,1,0,2,2,2,3,1,1117.00
251,1,1,1,0,2,1,1,5,1,1047.75
252,0,3,1,0,2,4,1,4,1,992.50
253,0,3,1,0,1,1,1,1,1,1065.25
254,0,3,1,0,3,4,1,3,0,1526.00
255,0,2,1,0,2,2,1,2,1,1741.75
256,0,2,2,0,1,1,2,3,0,342.50
257,0,2,1,0,2,3,1,5,0,935.75
258,0,3,1,0,3,1,1,1,1,1058.50
259,0,2,1,0,2,3,1,3,1,855.00
260,0,2,1,0,2,1,2,5,0,1263.00
261,0,2,2,0,2,1,1,6,1,1094.25
262,0,1,1,0,1,2,1,2,0,228.25
263,0,2,1,0,3,1,2,3,0,1265.00
264,1,2,1,0,3,4,1,4,0,1034.00
265,0,2,1,0,3,2,2,2,1,1210.25
266,0,3,1,0,1,2,1,3,1,1150.50
267,0,3,2,0,2,2,1,3,1,691.50
268,0,2,1,0,2,2,1,3,1,1296.25
269,0,2,1,0,2,2,2,3,1,690.50
270,0,2,1,0,2,1,1,4,1,1161.25
271,0,3,1,1,3,3,1,1,1,874.25
272,0,3,1,0,1,2,1,2,1,1272.75
273,0,3,2,0,3,1,1,3,0,1028.75
274,0,2,2,0,2,1,1,4,0,677.25
275,0,1,1,0,3,3,1,4,0,1053.25
276,0,3,1,0,1,1,1,3,0,1022.00
277,0,2,1,0,2,3,2,3,1,1024.00
278,1,1,2,0,3,1,1,1,1,887.25
279,0,2,1,0,2,2,2,4,0,1163.25
280,0,1,1,0,3,2,1,3,0,139.00
281,0,2,1,0,1,4,1,3,1,1164.50
282,1,3,1,1,3,2,1,4,1,984.00
283,0,3,1,1,2,2,1,4,1,735.75
284,0,2,1,0,1,2,1,3,1,1176.00
285,0,2,1,0,2,3,2,5,0,1504.50
286,1,3,2,0,3,4,1,3,1,881.25
287,0,2,1,0,3,2,1,3,1,1168.50
288,1,3,2,0,3,3,2,3,1,1107.50
289,0,2,2,0,1,2,1,4,0,129.75
290,0,3,1,0,1,3,2,1,0,1033.75
291,0,2,1,0,1,1,1,4,1,742.25
292,0,2,2,0,1,2,1,3,1,1423.25
293,0,2,1,1,1,1,1,4,1,239.25
294,0,2,1,0,1,2,1,3,0,1143.75
295,0,2,1,0,1,2,1,5,0,828.00
296,0,2,1,1,1,1,1,4,0,873.25
297,0,1,1,0,2,3,1,4,1,734.00
298,0,2,1,0,1,1,1,4,1,661.25
299,0,1,1,0,1,1,1,3,1,1159.25
300,0,2,1,1,2,3,1,2,0,1005.50
301,1,1,1,0,3,2,1,4,1,896.25
302,0,2,1,0,1,2,2,5,1,1101.75
303,0,3,1,1,3,2,1,4,0,278.00
304,0,2,2,1,2,3,1,5,0,715.25
305,0,2,1,0,3,1,1,5,1,1611.50
306,0,1,2,0,1,2,1,3,0,914.25
307,0,1,3,0,3,1,1,4,1,253.25
308,0,3,1,0,2,3,1,4,0,1035.25
309,0,3,2,1,2,1,1,2,0,1261.75
310,0,2,1,0,2,2,1,3,0,275.50
311,0,2,1,0,2,3,1,5,0,755.50
312,0,3,1,0,2,1,1,3,1,1295.25
313,1,2,1,1,2,3,1,2,1,944.50
314,0,2,1,0,1,2,2,2,1,1148.25
315,0,2,1,0,1,2,1,4,0,172.75
316,0,2,2,0,1,3,1,4,1,756.00
317,0,1,2,0,3,1,1,4,1,1486.75
318,0,3,1,1,3,1,1,5,0,1076.00
319,0,2,1,1,1,2,1,5,1,1094.00
320,0,3,1,0,2,2,1,4,1,287.25
321,1,2,1,0,3,1,1,4,1,916.50
322,0,3,1,0,2,3,1,3,0,1376.75
323,0,2,1,0,3,2,1,4,0,648.75
324,0,2,1,0,1,1,1,4,0,0.00
325,0,3,1,0,3,2,1,4,1,683.25
326,0,2,1,0,3,1,1,5,0,979.25
327,0,1,1,0,1,2,2,4,0,913.75
328,0,2,1,1,1,4,1,3,1,755.25
329,0,2,1,0,3,2,1,2,0,1000.75
330,0,2,1,0,3,2,1,5,1,1107.00
331,0,2,1,0,1,2,1,5,1,762.25
332,0,1,1,0,2,2,1,3,1,1223.50
333,0,3,1,0,2,2,1,2,1,932.50
334,0,2,1,0,3,2,1,3,1,967.75
335,0,3,2,0,3,2,1,4,1,222.75
336,0,2,2,0,3,1,2,2,0,1003.75
337,0,2,1,0,1,2,1,3,1,1221.00
338,0,1,3,0,3,1,1,4,1,915.50
339,0,2,1,0,2,3,1,3,1,984.25
340,0,2,1,1,1,2,1,2,1,1266.50
341,0,1,2,0,2,2,1,4,1,899.50
342,0,1,1,0,2,3,1,2,0,1224.50
343,1,3,1,0,3,2,1,5,0,1735.25
344,0,2,2,0,1,1,2,4,1,1057.75
345,0,3,1,0,1,4,1,2,1,1196.25
346,0,2,1,0,2,2,2,5,1,219.50
347,0,2,1,0,1,2,2,3,1,1113.25
348,0,2,2,1,1,2,1,4,1,969.25
349,0,2,1,0,3,1,1,5,1,823.25
350,1,2,2,0,3,1,1,4,1,992.25
351,0,2,3,0,3,2,2,4,0,750.75
352,0,2,1,0,1,1,2,4,1,1101.75
353,0,1,1,0,3,3,1,3,0,756.75
354,0,1,1,0,3,1,1,5,1,1092.00
355,0,2,2,0,2,3,1,4,1,1072.00
356,0,3,1,0,1,2,1,3,1,910.25
357,0,2,1,0,2,3,1,5,1,884.50
358,0,3,1,0,2,3,1,6,1,1007.75
359,0,1,2,1,1,2,1,3,1,1069.00
360,0,3,1,0,3,2,1,3,1,257.50
361,0,2,1,0,3,1,1,3,0,1095.25
362,0,1,1,0,3,2,2,3,1,1157.50
363,0,2,1,0,2,2,2,2,0,1015.75
364,0,3,2,0,1,2,1,4,0,986.50
365,0,1,1,1,2,3,1,3,1,962.00
366,0,2,1,0,2,2,1,3,1,940.75
367,0,1,2,1,2,1,1,3,0,1049.75
368,0,3,2,0,1,1,1,3,1,708.75
369,0,3,2,0,1,4,1,4,0,1170.25
370,0,1,1,0,1,1,1,5,1,1255.50
371,0,3,1,0,1,1,1,3,0,1246.00
372,0,3,1,0,3,1,1,3,1,911.50
373,0,2,1,0,1,2,2,4,1,885.75
374,0,2,2,0,3,1,1,2,1,1101.25
375,0,2,2,0,3,2,1,4,1,1018.75
376,0,2,2,0,1,2,1,3,1,1506.00
377,0,1,1,1,1,1,1,3,0,922.00
378,0,3,1,0,3,3,1,4,1,1157.75
379,1,2,1,0,1,2,1,3,0,1028.75
380,0,2,1,1,3,2,1,2,0,1233.00
381,0,1,1,0,2,2,1,4,1,1749.25
382,0,1,2,1,1,1,1,3,1,946.25
383,0,1,1,0,3,2,1,2,1,1762.00
384,0,2,1,0,2,1,1,3,1,1180.00
385,0,2,1,0,1,1,1,5,1,898.50
386,0,1,2,0,1,2,2,4,1,984.00
387,0,1,1,0,2,2,1,3,1,1100.50
388,0,1,1,0,1,1,2,3,1,765.25
389,0,2,2,0,3,2,1,4,1,1076.75
390,0,2,1,0,2,2,1,5,1,970.00
391,0,2,3,0,1,1,2,4,1,1206.00
392,0,3,1,0,1,2,1,3,1,292.00
393,0,2,1,0,3,2,1,4,1,1001.00
394,0,2,1,0,2,1,1,2,1,920.25
395,0,2,1,0,1,2,2,1,1,925.75
396,0,1,1,0,2,1,1,4,0,673.75
397,0,2,1,0,3,2,1,4,0,996.25
398,0,3,2,1,2,2,1,5,1,246.00
399,0,2,1,0,2,1,1,4,1,1135.25
400,0,2,1,0,1,2,1,3,0,929.00
401,0,1,2,0,1,2,1,3,1,1241.00
402,0,2,1,0,3,2,2,5,1,790.75
403,1,3,1,0,3,2,1,4,0,1364.75
404,0,1,1,0,1,3,2,3,1,785.50
405,0,2,1,0,2,2,1,3,0,1074.25
406,0,2,1,0,1,2,2,4,1,1041.00
407,0,2,1,0,2,1,1,4,1,1097.00
408,0,2,1,0,1,4,1,2,1,1130.00
409,0,3,2,0,1,1,1,1,1,1186.75
410,0,1,1,0,3,1,1,3,1,1058.50
411,0,2,1,0,3,3,1,4,0,1048.75
412,0,1,1,0,3,2,1,3,0,1036.00
413,1,2,2,0,3,1,1,3,1,841.75
414,0,2,2,0,2,2,1,3,1,753.75
415,0,3,1,0,1,3,2,4,0,1009.00
416,0,1,1,0,2,2,1,1,0,1340.00
417,0,2,2,0,3,4,1,3,1,782.75
418,0,1,2,0,3,4,1,3,1,1162.25
419,0,2,2,0,1,3,1,3,1,250.50
420,0,3,2,0,3,2,1,4,1,966.75
421,0,1,1,0,1,2,1,3,0,1233.50
422,0,2,1,0,2,3,1,2,0,1778.75
423,0,3,2,0,3,2,1,3,1,954.75
424,1,2,2,0,3,1,1,4,0,1327.25
425,0,2,1,0,2,2,1,5,0,966.00
426,0,3,1,0,3,2,1,5,1,1028.25
427,0,2,1,1,1,1,2,4,1,795.50
428,0,2,1,0,3,2,1,4,1,1171.75
429,0,3,1,1,3,1,2,5,0,686.00
430,0,2,1,0,3,1,1,4,1,1094.25
431,0,2,1,0,2,2,1,4,0,107.75
432,0,1,1,1,3,2,2,3,1,962.50
433,0,3,1,0,1,3,2,5,1,783.75
434,0,2,1,0,2,2,1,4,1,1255.75
435,0,2,1,0,3,1,1,3,1,1255.75
436,0,2,1,0,1,2,1,4,1,1005.25
437,0,2,2,0,1,2,1,5,1,821.25
438,0,2,1,0,2,1,1,2,1,635.25
439,0,3,1,0,2,2,1,3,1,1154.00
440,0,3,2,0,3,1,1,3,1,997.25
441,0,1,1,1,3,1,2,5,1,1106.25
442,0,2,1,0,3,2,1,4,1,179.50
443,0,2,1,0,1,2,1,6,1,946.75
444,0,3,1,0,1,1,1,4,0,1096.25
445,0,1,1,0,3,2,1,2,1,279.00
446,0,2,1,0,1,1,1,4,0,285.00
447,0,2,1,1,1,3,2,3,1,1100.50
448,1,3,1,1,3,1,1,4,1,1034.75
449,0,1,1,1,2,1,1,4,0,1113.25
450,0,1,1,1,1,2,1,4,0,1262.25
451,0,1,1,0,1,1,1,5,1,1159.00
452,0,2,1,0,2,1,1,3,0,980.00
453,0,2,1,0,3,1,1,6,1,1085.50
454,0,3,2,0,1,1,1,2,0,812.25
455,0,2,1,0,2,1,1,3,0,237.75
456,0,3,1,0,3,3,1,3,0,1055.50
457,0,3,1,0,2,2,2,2,1,941.25
458,0,3,1,0,3,2,1,2,1,1005.00
459,0,2,1,1,3,2,1,4,1,1066.25
460,0,2,1,0,1,2,1,3,1,1452.25
461,0,2,1,0,3,2,1,4,0,137.00
462,0,1,2,0,3,3,1,3,0,781.00
463,0,3,1,0,3,1,1,3,1,900.75
464,0,2,1,0,1,2,2,4,0,1135.00
465,0,2,1,0,2,3,1,3,1,1054.25
466,0,2,1,0,3,2,1,4,0,1191.50
467,1,2,1,0,3,3,1,4,0,938.25
468,0,2,1,1,1,2,1,3,1,794.75
469,0,2,1,1,2,3,1,4,1,983.25
470,0,2,1,1,3,1,1,4,0,672.50
471,0,2,1,0,1,3,1,5,0,956.25
472,0,3,1,0,2,2,1,5,0,1179.00
473,0,2,1,0,2,1,1,3,1,1168.00
474,0,1,1,0,1,3,1,4,1,974.00
475,0,3,1,0,2,2,1,3,1,1071.75
476,0,2,1,0,2,3,1,5,1,1164.50
477,0,1,1,0,3,1,1,3,1,806.75
478,1,2,2,0,1,2,1,3,1,1054.75
479,0,1,2,0,3,1,1,2,0,1229.50
480,0,2,1,0,2,2,1,4,1,1122.00
481,0,2,2,0,2,1,1,5,1,832.25
482,0,2,1,0,1,1,3,1,0,822.00
483,0,3,1,0,2,3,1,2,1,751.00
484,0,1,1,0,2,3,2,4,0,1449.50
485,0,1,1,0,2,2,1,2,1,1018.75
486,0,1,1,0,2,2,1,2,0,1262.75
487,0,1,2,0,2,3,1,6,1,1388.00
488,0,1,1,1,2,3,1,5,1,770.00
489,0,3,2,0,1,2,1,3,1,1357.25
490,0,2,2,0,1,3,1,5,1,1131.50
491,0,2,1,1,3,2,1,3,0,831.50
492,0,2,1,1,2,2,1,3,0,1032.75
493,0,3,1,0,3,3,1,2,0,288.25
494,0,2,1,0,3,2,2,4,0,709.00
495,1,2,1,0,1,1,1,2,1,612.75
496,0,2,1,0,3,1,3,4,1,1220.00
497,0,2,2,0,1,2,1,4,0,1153.75
498,0,1,2,1,1,3,1,3,1,1045.50
499,0,2,1,0,2,2,1,3,1,1083.00
500,0,2,1,0,3,2,2,2,1,1070.75
501,0,3,2,0,3,2,2,3,1,886.25
502,0,3,2,0,3,1,1,3,0,259.00
503,1,3,1,0,3,2,1,1,0,1215.75
504,0,2,1,0,2,2,1,3,1,258.75
505,0,1,2,0,1,4,1,4,1,1056.25
506,0,1,1,0,2,2,1,5,0,845.00
507,0,2,1,1,1,1,2,4,1,444.75
508,0,2,2,0,2,2,1,4,1,663.00
509,0,3,1,0,1,2,1,4,1,820.00
510,0,2,2,0,1,1,1,3,0,947.75
511,0,2,1,0,3,2,2,3,0,1466.75
512,0,3,1,0,3,3,1,5,0,1405.00
513,0,3,2,0,3,2,1,4,0,1687.25
514,0,2,1,0,1,2,1,2,1,977.75
515,0,2,1,0,2,1,1,4,0,1293.50
516,0,2,1,1,2,3,1,4,1,1035.25
517,0,3,1,0,1,3,2,2,0,973.00
518,0,3,1,0,1,3,2,5,1,177.25
519,0,2,2,0,3,2,1,3,1,1027.75
520,0,1,1,0,1,1,1,4,0,764.75
521,0,2,2,0,2,2,1,4,0,1046.75
522,0,2,1,0,2,1,1,4,1,237.50
523,0,2,1,0,1,1,1,3,0,1325.75
524,0,2,1,0,2,1,1,4,1,865.25
525,0,3,2,0,2,1,1,3,1,977.00
526,0,1,1,0,3,2,1,3,0,753.75
527,0,2,1,1,2,4,1,3,0,1008.75
528,0,1,2,0,2,3,3,3,0,208.25
529,0,1,1,0,1,2,1,2,0,1016.50
530,0,2,2,0,3,2,2,6,1,1039.00
531,0,2,1,0,2,2,1,3,1,1252.00
532,0,2,1,0,2,1,2,4,1,816.75
533,0,2,1,0,3,1,1,4,1,1066.00
534,1,3,2,1,3,2,1,3,1,1097.50
535,0,3,1,0,3,2,1,4,0,1014.50
536,0,1,2,0,1,1,1,2,1,1174.00
537,0,2,1,0,1,1,1,4,1,817.00
538,0,1,1,0,3,2,1,3,1,986.75
539,0,2,2,0,1,1,1,3,1,920.25
540,0,2,1,0,2,2,1,4,0,715.75
541,0,2,1,0,2,1,1,2,1,203.00
542,0,1,1,0,3,1,1,5,1,1245.50
543,0,2,1,0,1,1,1,2,1,1173.50
544,0,1,1,1,3,1,1,5,0,1007.25
545,0,2,1,0,1,1,1,5,0,308.00
546,0,3,1,0,2,3,1,3,1,330.25
547,0,1,1,0,3,2,1,4,0,370.25
548,0,1,1,0,2,2,1,4,0,946.50
549,0,2,1,1,3,1,1,5,0,1028.75
550,0,3,1,0,1,1,1,5,1,274.00
551,0,3,2,0,1,2,1,4,1,1021.00
552,0,1,1,0,1,2,1,6,1,255.25
553,0,1,1,0,2,2,1,4,0,1101.00
554,0,3,1,0,1,3,1,2,0,896.75
555,0,2,1,1,1,1,1,4,0,898.75
556,1,2,1,0,1,2,1,4,0,1070.00
557,0,2,2,0,3,3,2,4,0,1037.25
558,0,3,1,0,1,3,1,2,1,1258.75
559,0,1,1,0,2,2,2,5,1,1351.50
560,0,3,1,1,3,3,1,3,1,1166.75
561,0,3,1,0,2,2,2,5,0,303.00
562,0,3,1,0,1,2,1,3,1,976.00
563,0,3,2,0,3,2,1,4,1,960.75
